session_id,regime,capacity_ah,health_factor,ohmic_resistance,ambient_temp,max_current,shock_steps
0,gaussian,56.9889628523367,1.0245785737050908,0.018728525444738044,26.381218778758512,42.80093202212183,0
1,gaussian,60.82694139017393,0.9729196743226345,0.016016021090100883,28.71498793492737,40.14907396656578,0
2,gaussian,50.63366876826009,0.9802755437871062,0.015489103140184113,29.820999158354624,39.90412903921223,0
3,gaussian,64.22659755394587,1.0238380535899532,0.013189777903771025,24.65569250990103,66.71698698556021,0
4,gaussian,71.42848739971402,0.995179915514826,0.014513683324726804,29.20102804907615,79.22916464605939,0
5,gaussian,51.4878406180921,0.9756266418159512,0.01077592254035544,18.996179504290737,63.69329248385482,0
6,gaussian,49.31064727712326,1.0269029831458034,0.016099240483311194,22.072275959242155,58.470342099462904,0
7,gaussian,71.84587614766124,0.9392372329814349,0.018203502736149943,20.42754492688567,71.23934874791931,0
8,gaussian,57.475374789078145,0.9910651638506256,0.011819991025432155,31.0570734075947,54.15294032105018,0
9,gaussian,50.925341089928615,0.9760732773590959,0.017072007432770136,23.03074586722102,58.76795338404342,0
10,gaussian,68.20633618750207,0.9841764216701302,0.010759071052745846,27.17581975523997,35.41326489729292,0
11,gaussian,71.21311696339845,0.9682520919485412,0.014776314461484029,29.85171086147808,56.34526603181518,0
12,gaussian,65.0407043442055,0.9222025887971678,0.016997004912349813,22.683293638006162,35.441592171136726,0
13,gaussian,69.35918084992036,1.0064380511706772,0.013544596852429371,25.63011782013517,46.19486166528425,0
14,gaussian,48.353373404671956,1.0022859475996928,0.011095376960619817,21.636513105436062,62.57451476756684,0
15,gaussian,68.40095651983665,0.986350770574497,0.011767432777366905,28.17060160894164,45.37296007399392,0
16,gaussian,49.453254149790254,0.9955503337591526,0.016822891052973007,22.891951577713034,70.25944894586773,0
17,gaussian,70.0984173566048,0.9685976139486866,0.018984761462807365,25.65794190473929,47.83134019576139,0
18,gaussian,55.84509095436767,1.017720005108139,0.010284652919216625,23.688584622654155,36.569981490637055,0
19,gaussian,54.99137871058771,0.9861688084893689,0.011972873599909638,25.68181757848731,77.87732949684224,0
20,gaussian,71.87639536948302,0.9532638371811876,0.012937011854882925,25.95046767627567,76.7563081671602,0
21,gaussian,65.53625688070647,0.9297828769231016,0.014326846173930671,30.759366526592025,62.8333843168502,0
22,gaussian,48.9809754596552,0.9585814988771092,0.018276464538641676,26.03151748407368,83.90336544231113,0
23,gaussian,69.5681461335273,0.946835982956042,0.013514900999753544,19.713751293611935,72.955954779213,0
24,gaussian,70.77611488014657,1.02351377341685,0.01213614756569823,20.592051584352323,43.16907282322752,0
25,gaussian,59.033063242760846,0.9369351932335994,0.013893564379773836,30.007059699910617,79.8779204943082,0
26,gaussian,53.819511153494815,0.9775571782763978,0.01224314623509705,21.93789830102355,60.80026460868956,0
27,gaussian,55.09705848537237,0.9218693674545845,0.01246747720775024,23.542369918243892,44.87143542002855,0
28,gaussian,60.50630565582609,1.0268815547724766,0.017802156527601205,22.029764103075227,47.03996549690692,0
29,gaussian,58.172964146176724,0.9796828154124195,0.021838095954950898,29.380608367390433,80.18562158151958,0
30,gaussian,54.60118292621745,0.9851265262292115,0.010326435011835403,21.447159127785444,52.027364265854374,0
31,gaussian,64.26235705892262,0.9264929381902466,0.014142839671173472,29.853955712655267,73.714564519058,0
32,gaussian,67.40384017174051,1.0280422364144128,0.012231593086986025,22.11312790644746,65.47452492397485,0
